,date_cd,dong,temp,hum,redust,pm10,pm25,o3,no2,co,so2,buspop,stops,consts
0,20220207,이촌동,1.0,36.0,46.0,28,16,0.021,0.031,0.5,0.004,7290,33,1
1,20220311,이촌동,11.0,63.0,13.0,67,36,0.022,0.043,0.6,0.004,8118,33,1
2,20220318,이촌동,9.0,67.0,20.0,6,3,0.032,0.01,0.3,0.002,7655,33,1
3,20220518,이촌동,26.0,46.0,139.0,59,34,0.079,0.017,0.5,0.004,9342,33,3
4,20220518,서빙고동,26.0,45.0,16.0,59,34,0.079,0.017,0.5,0.004,7282,24,3
5,20220518,한남동,27.0,47.0,17.0,59,34,0.079,0.017,0.5,0.004,30557,46,3
6,20220518,효창동,24.0,50.0,52.0,59,34,0.079,0.017,0.5,0.004,4367,4,3
7,20220518,후암동,26.0,47.0,12.0,59,34,0.079,0.017,0.5,0.004,5953,16,3
8,20220616,이촌동,22.0,90.0,28.0,15,9,0.029,0.016,0.3,0.003,10009,33,5
9,20220616,서빙고동,22.0,92.0,11.0,15,9,0.029,0.016,0.3,0.003,7492,24,5
10,20220616,한남동,23.0,90.0,15.0,15,9,0.029,0.016,0.3,0.003,29953,46,5
11,20220616,효창동,21.0,96.0,39.0,15,9,0.029,0.016,0.3,0.003,4172,4,5
12,20220616,후암동,21.0,97.0,11.0,15,9,0.029,0.016,0.3,0.003,6002,16,5
13,20220718,이촌동,30.0,63.0,5.0,27,18,0.041,0.021,0.4,0.003,9259,33,8
14,20220718,서빙고동,30.0,65.0,2.0,27,18,0.041,0.021,0.4,0.003,6872,24,8
15,20220718,한남동,31.0,62.0,2.0,27,18,0.041,0.021,0.4,0.003,27186,46,8
16,20220718,효창동,29.0,66.0,7.0,27,18,0.041,0.021,0.4,0.003,4036,4,8
17,20220718,후암동,29.0,68.0,2.0,27,18,0.041,0.021,0.4,0.003,5918,16,8
18,20220819,이촌동,29.0,85.0,6.0,23,13,0.031,0.016,0.2,0.003,8830,33,8
19,20220819,서빙고동,28.0,91.0,1.0,23,13,0.031,0.016,0.2,0.003,6714,24,8
20,20220819,한남동,29.0,91.0,6.0,23,13,0.031,0.016,0.2,0.003,27549,46,8
21,20220819,효창동,28.0,84.0,2.0,23,13,0.031,0.016,0.2,0.003,3872,4,8
22,20220819,후암동,28.0,94.0,2.0,23,13,0.031,0.016,0.2,0.003,6018,16,8
23,20221005,이촌동,20.0,73.0,12.0,19,8,0.023,0.013,0.3,0.003,9673,33,9
24,20221005,서빙고동,21.0,70.0,6.0,19,8,0.023,0.013,0.3,0.003,7392,24,9
25,20221005,한남동,22.0,66.0,10.0,19,8,0.023,0.013,0.3,0.003,29918,46,9
26,20221005,효창동,18.0,78.0,7.0,19,8,0.023,0.013,0.3,0.003,5200,4,9
27,20221005,후암동,20.0,72.0,3.0,19,8,0.023,0.013,0.3,0.003,6182,16,9
28,20221115,이촌동,11.0,76.0,16.0,30,15,0.015,0.025,0.4,0.003,8472,33,12
29,20221115,서빙고동,12.0,74.0,8.0,30,15,0.015,0.025,0.4,0.003,6797,24,12
30,20221115,한남동,13.0,74.0,9.0,30,15,0.015,0.025,0.4,0.003,27647,46,12
31,20221115,효창동,10.0,78.0,7.0,30,15,0.015,0.025,0.4,0.003,4947,4,12
32,20221115,후암동,12.0,76.0,8.0,30,15,0.015,0.025,0.4,0.003,5910,16,12
33,20221213,이촌동,3.0,63.0,19.0,213,29,0.022,0.015,0.4,0.003,6818,33,16
34,20221213,서빙고동,4.0,62.0,9.0,213,29,0.022,0.015,0.4,0.003,6005,24,16
35,20221213,한남동,4.0,61.0,28.0,213,29,0.022,0.015,0.4,0.003,20600,46,16
36,20221213,효창동,3.0,64.0,7.0,213,29,0.022,0.015,0.4,0.003,2969,4,16
37,20221213,후암동,3.0,64.0,12.0,213,29,0.022,0.015,0.4,0.003,4479,16,16
38,20230106,이촌동,1.0,60.0,6.0,66,54,0.011,0.044,0.8,0.004,8393,33,19
39,20230106,한남동,0.0,63.0,5.0,66,54,0.011,0.044,0.8,0.004,27033,46,19
40,20230208,이촌동,6.0,49.0,76.0,76,54,0.023,0.025,0.6,0.003,8499,33,22
41,20230208,한남동,6.0,53.0,85.0,76,54,0.023,0.025,0.6,0.003,28769,46,22
42,20230213,이촌동,9.0,57.0,3.0,35,27,0.028,0.025,0.6,0.003,8004,33,20
43,20230213,한남동,9.0,55.0,3.0,35,27,0.028,0.025,0.6,0.003,26329,46,20
44,20220207,소공동,2.0,33.0,25.0,27,15,0.018,0.014,0.6,0.004,26013,30,8
45,20220315,소공동,8.0,87.0,63.0,36,29,0.023,0.033,0.7,0.003,26635,30,9
46,20220208,자양동,6.0,27.0,36.0,31,19,0.013,0.043,0.6,0.004,23643,61,25
47,20220222,자양동,0.0,36.0,38.0,28,14,0.037,0.012,0.5,0.003,23275,61,12
48,20220222,중곡동,0.0,33.0,31.0,28,14,0.037,0.012,0.5,0.003,17998,97,12
49,20220310,자양동,12.0,49.0,59.0,66,44,0.023,0.039,0.6,0.004,22601,61,12
50,20220310,중곡동,12.0,49.0,54.0,66,44,0.023,0.039,0.6,0.004,18236,97,12
51,20220310,자양동,14.0,33.0,129.0,69,36,0.019,0.049,0.7,0.004,22601,61,25
52,20220318,자양동,10.0,61.0,132.0,5,1,0.04,0.011,0.3,0.004,23325,61,12
53,20220318,중곡동,10.0,62.0,56.0,5,1,0.04,0.011,0.3,0.004,18263,97,12
54,20220318,자양동,10.0,61.0,115.0,8,2,0.036,0.014,0.4,0.003,23325,61,25
55,20220520,자양동,26.0,36.0,26.0,36,21,0.044,0.018,0.4,0.004,27543,61,18
56,20220520,중곡동,27.0,36.0,69.0,36,21,0.044,0.018,0.4,0.004,20745,97,18
57,20220520,광장동,24.0,43.0,69.0,36,21,0.044,0.018,0.4,0.004,5057,36,18
58,20220520,구의동,25.0,37.0,105.0,36,21,0.044,0.018,0.4,0.004,24640,74,18
59,20220602,자양동,25.0,47.0,21.0,32,15,0.049,0.02,0.4,0.003,25871,61,30
60,20220602,가락동,27.0,47.0,24.0,32,15,0.049,0.02,0.4,0.003,15549,41,30
61,20220602,거여동,27.0,45.0,32.0,32,15,0.049,0.02,0.4,0.003,6496,19,30
62,20220602,마천동,27.0,44.0,39.0,32,15,0.049,0.02,0.4,0.003,10460,26,30
63,20220602,문정동,26.0,50.0,83.0,32,15,0.049,0.02,0.4,0.003,14903,49,30
64,20220602,방이동,27.0,46.0,39.0,32,15,0.049,0.02,0.4,0.003,10897,26,30
65,20220602,삼전동,27.0,51.0,21.0,32,15,0.049,0.02,0.4,0.003,8043,5,30
66,20220602,오금동,28.0,45.0,40.0,32,15,0.049,0.02,0.4,0.003,11370,24,30
